demre_code,weighted_threshold,unique_code,nem_weight,ranking_weight,math_weight,lang_weight,hist_weight,scie_weight,other_wieight,tipoies,region,nombreies,nombrecarrera,jornada,ingreso_directo
11031,600.2,I70S1C61J1V1,10.0,20.0,30.0,10.0,0.0,30.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA EN ALIMENTOS,Diurno,0
11039,740.15,I70S1C62J1V1,20.0,20.0,25.0,10.0,0.0,25.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA EN BIOTECNOLOGIA MOLECULAR,Diurno,0
11024,632.7,I70S1C63J1V1,10.0,35.0,25.0,10.0,20.0,20.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA EN RECURSOS NATURALES RENOVABLES,Diurno,0
11045,718.9,I70S1C64J1V4,10.0,20.0,45.0,10.0,0.0,15.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA Y CIENCIAS - PLAN COMUN,Diurno,0
11082,667.5,I70S1C66J1V1,10.0,20.0,30.0,10.0,0.0,30.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,KINESIOLOGIA,Diurno,0
11508,660.4,I70S1C67J1V1,10.0,30.0,10.0,30.0,20.0,0.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DANZA,Diurno,0
11003,641.02,I70S1C68J1V2,10.0,20.0,15.0,30.0,25.0,0.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,ACTUACION TEATRAL,Diurno,0
11030,701.5,I70S1C6J1V1,10.0,20.0,30.0,10.0,0.0,30.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,BIOQUIMICA,Diurno,0
11004,601.1,I70S1C70J1V1,10.0,20.0,20.0,25.0,25.0,0.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DISEÑO TEATRAL,Diurno,0
0,0.0,I70S1C71J1V2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INTERPRETACION MUSICAL,Diurno,1
11017,646.15,I70S1C73J1V2,10.0,20.0,20.0,25.0,25.0,0.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,TEORIA DE LA MUSICA,Diurno,0
11016,603.85,I70S1C74J1V1,10.0,20.0,10.0,35.0,25.0,0.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,TEORIA E HISTORIA DEL ARTE,Diurno,0
11032,643.85,I70S1C76J1V1,20.0,20.0,25.0,10.0,0.0,25.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,LICENCIATURA EN CIENCIAS CON MENCION EN BIOLOGIA,Diurno,0
11033,699.3,I70S1C77J1V1,20.0,20.0,40.0,10.0,0.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,LICENCIATURA EN CIENCIAS CON MENCION EN FISICA,Diurno,0
11034,632.1,I70S1C78J1V1,10.0,20.0,50.0,10.0,0.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,LICENCIATURA EN CIENCIAS CON MENCION EN MATEMATICAS,Diurno,0
11036,606.7,I70S1C79J1V1,20.0,20.0,30.0,10.0,0.0,20.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,LICENCIATURA EN CIENCIAS CON MENCION EN QUIMICA,Diurno,0
0,0.0,I70S1C80J1V3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,LICENCIATURA EN ARTES CON MENCION EN COMPOSICION,Diurno,1
11026,653.8,I70S1C814J1V1,10.0,20.0,50.0,10.0,10.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,CONTADOR AUDITOR,Diurno,0
11027,651.1,I70S1C816J1V1,10.0,20.0,50.0,10.0,10.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA EN INFORMACION Y CONTROL DE GESTION,Diurno,0
11061,600.9,I70S1C81J1V1,10.0,20.0,15.0,30.0,25.0,0.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,LICENCIATURA EN FILOSOFIA,Diurno,0
11063,609.55,I70S1C82J1V1,10.0,20.0,15.0,20.0,35.0,0.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,LICENCIATURA EN HISTORIA,Diurno,0
11072,600.3,I70S1C83J1V1,10.0,20.0,15.0,35.0,20.0,0.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,LICENCIATURA EN LINGÜISTICA Y LITERATURA,Diurno,0
0,0.0,I70S1C840J1V1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,ETAPA BASICA DE LA LICENCIATURA EN ARTES CON MENCION EN COMPOSICION,Diurno,1
0,0.0,I70S1C842J1V1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,ETAPA BASICA DE LA LICENCIATURA EN ARTES CON MENCION EN INTERPRETACION MUSICAL,Diurno,1
11065,601.4,I70S1C84J1V1,10.0,20.0,15.0,30.0,25.0,0.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,LICENCIATURA EN LINGÜISTICA Y LITERATURA INGLESAS,Diurno,0
11523,600.55,I70S1C861J1V1,10.0,20.0,25.0,25.0,20.0,20.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,PEDAGOGIA EN EDUCACION BASICA,Diurno,0
11522,601.35,I70S1C862J1V1,30.0,20.0,15.0,20.0,15.0,15.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,PEDAGOGIA EN EDUCACION PARVULARIA,Diurno,0
11521,604.3,I70S1C863J1V1,20.0,20.0,25.0,10.0,0.0,25.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,PEDAGOGIA EN EDUCACION MEDIA EN BIOLOGIA Y QUIMICA,Diurno,0
11520,612.5,I70S1C864J1V1,20.0,20.0,20.0,25.0,15.0,15.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,TRABAJO SOCIAL,Diurno,0
11524,691.8,I70S1C873J1V1,10.0,20.0,40.0,20.0,0.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA EN SONIDO,Diurno,0
11525,712.2,I70S1C901J1V1,20.0,20.0,20.0,20.0,20.0,0.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,ESTUDIOS INTERNACIONALES,Diurno,0
11526,675.5,I70S1C911J1V1,10.0,30.0,20.0,20.0,20.0,0.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,CIENCIA POLITICA,Diurno,0
11011,625.65,I70S1C931J1V1,10.0,20.0,10.0,35.0,25.0,0.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,LICENCIATURA EN ARTES CON MENCION EN ARTES VISUALES,Diurno,0
16047,600.1,I71S1C100J1V1,10.0,40.0,30.0,10.0,0.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA MATEMATICA,Diurno,0
