unique_code,tipoies,region,nombreies,nombrecarrera
I70S1C566J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN CIENCIAS DE LA INGENIERIA MENCION RECURSOS Y MEDIO AMBIENTE HIDRICO
I70S1C567J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN INGENIERIA DE NEGOCIOS CON TECNOLOGIAS DE INFORMACION
I70S1C568J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN AREAS SILVESTRES Y CONSERVACION DE LA NATURALEZA
I70S1C569J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN BIOQUIMICA
I70S1C56J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA CIVIL MECANICA
I70S1C56J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA CIVIL MECANICA
I70S1C570J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN CIENCIAS FARMACEUTICAS
I70S1C571J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN QUIMICA
I70S1C572J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN CIENCIAS DE LOS ALIMENTOS
I70S1C573J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,"MAGISTER EN ALIMENTOS MENCION GESTION, CALIDAD E INOCUIDAD DE LOS ALIMENTOS"
I70S1C574J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN ANALISIS SISTEMICO APLICADO A LA SOCIEDAD
I70S1C575J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN PSICOLOGIA CON MENCION EN PSICOLOGIA COMUNITARIA
I70S1C576J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN PSICOLOGIA EDUCACIONAL
I70S1C577J5V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN PSICOLOGIA CLINICA DE ADULTOS
I70S1C57J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA CIVIL QUIMICA
I70S1C57J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA CIVIL QUIMICA
I70S1C580J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN CIENCIAS ANIMALES Y VETERINARIAS CON MENCION EN MEDICINA PREVENTIVA
I70S1C581J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN CIENCIAS ANIMALES Y VETERINARIAS CON MENCION EN PATOLOGIA ANIMAL
I70S1C582J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN CIENCIAS CON MENCION EN FISICA
I70S1C584J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,"MAGISTER EN DERECHO, MENCIONES EN DERECHO ECONOMICO, DERECHO INTERNACIONAL, DERECHO PRIVADO, DERECHO PUBLICO, CIENCIAS DEL DERECHO"
I70S1C585J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN DERECHO MENCION DERECHO TRIBUTARIO
I70S1C586J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,"MAGISTER EN DERECHO INTERNACIONAL, INVERSIONES Y COMERCIO"
I70S1C587J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN DERECHO CON MENCION EN DERECHO PENAL
I70S1C589J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN DERECHO CON MENCION EN CONTRATACION COMPARADA E INTERNACIONAL
I70S1C58J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA COMERCIAL
I70S1C590J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN MARKETING
I70S1C591J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN FINANZAS
I70S1C592J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN ECONOMIA
I70S1C593J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN POLITICAS PUBLICAS
I70S1C595J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN CONTROL DE GESTION
I70S1C596J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN LINGÜISTICA CON MENCION EN LENGUA ESPAÑOLA
I70S1C597J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN LINGÜISTICA CON MENCION EN LENGUA INGLESA
I70S1C5J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,BIOLOGIA CON MENCION EN MEDIO AMBIENTE
I70S1C600J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN ESTUDIOS COGNITIVOS
I70S1C601J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN LITERATURA
I70S1C602J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN HISTORIA
I70S1C603J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN BIOETICA
I70S1C604J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN COMUNICACION POLITICA
I70S1C605J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN ESTUDIOS INTERNACIONALES
I70S1C606J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN CIENCIA POLITICA
I70S1C607J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN NUTRICION Y ALIMENTOS MENCION NUTRICION CLINICA
I70S1C608J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN NUTRICION Y ALIMENTOS MENCION NUTRICION HUMANA
I70S1C609J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN NUTRICION Y ALIMENTOS MENCION ALIMENTOS SALUDABLES
I70S1C60J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA DE LA MADERA
I70S1C610J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN NUTRICION Y ALIMENTOS MENCION PROMOCION DE LA SALUD Y PREVENCION DE ENFERMEDADES CRONICAS ASOCIADAS A LA NUTRICION
