demre_code,weighted_threshold,unique_code,nem_weight,ranking_weight,math_weight,lang_weight,hist_weight,scie_weight,other_weight,tipoies,region,nombreies,nombrecarrera
12056,728.7,I86S1C342J1V1,20,25,20,10,0,25,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,ODONTOLOGIA
12057,718.65,I86S5C208J1V1,20,25,20,10,0,25,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,ENFERMERIA
12058,804.3,I86S1C117J1V2,20,20,20,15,0,25,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,MEDICINA
12059,630.95,I86S3C75J1V2,20,20,25,20,15,15,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,LICENCIATURA EN MUSICA
12060,673.2,I86S5C557J1V1,20,25,20,10,0,25,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,NUTRICION Y DIETETICA
12061,685.6,I86S5C535J1V1,20,25,20,10,0,25,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,KINESIOLOGIA
12062,601.1,I86S5C562J1V1,20,25,20,10,0,25,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,FONOAUDIOLOGIA
12070,649.5,I86S5C649J1V1,20,20,20,30,10,0,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,PEDAGOGIA EN INGLES PARA EDUCACION BASICA Y MEDIA
12071,604.7,I86S5C1271J1V1,20,20,30,20,10,0,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,ADMINISTRACION PUBLICA
12089,658.2,I86S5C1140J1V1,20,20,40,10,0,10,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,LICENCIATURA EN INGENIERIA EN CIENCIA DE DATOS
